name,state,id,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
Colorado Northwestern Community College,Colorado,8,Public,2 Year,7370,4906,12276,7885,15255
Colorado School of Healing Arts,Colorado,8,For Profit,2 Year,NA,13848,13848,13848,13848
Colorado School of Mines,Colorado,8,Public,4 Year,13169,49964,33833,38584,52153
Colorado School of Trades,Colorado,8,For Profit,2 Year,NA,38500,38500,38500,38500
Colorado State University,Colorado,8,Public,4 Year,14864,14931,23795,29732,41696
Colorado State University - Global Campus,Colorado,8,Public,4 Year,NA,10500,10500,10500,10500
Colorado State University: Pueblo,Colorado,8,Public,4 Year,10470,10408,20878,26329,36799
Columbia Basin College,Washington,44,Public,2 Year,NA,5563,5563,8532,8532
Columbia Central University: Yauco,NA,41,For Profit,2 Year,NA,6420,6420,6420,6420
Columbia College,South Carolina,28,Private,4 Year,7900,48500,27400,48500,27400
Columbia College,Missouri,47,Private,4 Year,7808,22704,30512,22704,30512
Columbia College,California,6,Public,2 Year,NA,1449,1449,9158,9158
Columbia College Chicago,Illinois,36,Private,4 Year,14012,27216,41498,27216,41498
Columbia College Hollywood,California,6,Private,4 Year,NA,25140,25140,25140,25140
Columbia College of Nursing,Wisconsin,35,Private,4 Year,NA,29700,29700,29700,29700
Columbia International University,South Carolina,28,Private,4 Year,8150,23690,34940,23690,34940
Columbia Southern University,Alabama,1,For Profit,4 Year,NA,6785,6785,6785,6785
Columbia State Community College,Tennessee,37,Public,2 Year,NA,4473,4473,21379,21379
Columbia University,New York,25,Private,4 Year,14016,59985,74001,59985,74001
Columbia University: School of General Studies,New York,25,Private,4 Year,14480,57549,72139,57549,72139
Columbia-Greene Community College,New York,25,Public,2 Year,NA,5094,5094,9774,9774
Columbus College of Art and Design,Ohio,33,Private,4 Year,9570,36020,45590,36020,45590
Columbus State Community College,Ohio,33,Public,2 Year,NA,4638,4638,9591,9591
Columbus State University,Georgia,12,Public,4 Year,9880,7200,21080,20682,30562
Columbus Technical College,Georgia,12,Public,2 Year,NA,3312,3312,5982,5982
Commonwealth Institute of Funeral Service,Texas,23,Private,2 Year,NA,5130,5130,5130,5130
Commonwealth Technical Institute,Pennsylvania,30,Private,2 Year,10980,11324,22304,11324,22304
Community College of Allegheny County,Pennsylvania,30,Public,2 Year,NA,4484,4484,10920,10920
Community College of Aurora,Colorado,8,Public,2 Year,NA,4887,4887,49747,49747
Community College of Baltimore County,Maryland,20,Public,2 Year,NA,4896,4896,12136,12136
Community College of Beaver County,Pennsylvania,30,Public,2 Year,NA,5970,5970,15390,15390
Community College of Denver,Colorado,8,Public,2 Year,NA,5757,5757,48621,48621
Community College of Philadelphia,Pennsylvania,30,Public,2 Year,NA,5448,5448,14712,14712
Community College of Rhode Island,Rhode Island,56,Public,2 Year,NA,4564,4564,13856,13856
Community College of Vermont,Vermont,51,Public,2 Year,NA,8480,8480,16230,16230
Conception Seminary College,Missouri,47,Private,4 Year,13338,38526,34847,38526,34847
Concord University,West Virginia,32,Public,4 Year,8988,7896,16884,21320,26308
Concordia College,New York,25,Private,4 Year,12690,32900,45590,32900,45590
Concordia College,Alabama,1,Private,4 Year,5700,10120,15820,10120,15820
Concordia College: Moorhead,Minnesota,24,Private,4 Year,8230,39878,48108,39878,48108
